CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
CUST-1048,45.0,M,2,$56.95,7909.321019164029,Month-to-month,Electronic check,Yes
CUST-1049,25.0,Male,10,INVALID,299.37503220128724,m2m,Credit card,No
CUST-1050,150.0,M,1,INVALID,2095.903641908165,Unknown,Bank transfer,No
CUST-1051,61.0,Female,5,$56.95,4208.585082778088,One year,Electronic check,No
CUST-1052,,F,0,$56.95,4223.428727480655,Unknown,Credit card,No
CUST-1053,61.0,Female,2,INVALID,4752.571292069957,m2m,Electronic check,Yes
CUST-1054,45.0,nan,2,99.99,6038.241758981062,Month-to-month,Credit card,No
CUST-1055,,Male,0,$29.85,5025.4748611024415,Month-to-month,Bank transfer,No
CUST-1056,25.0,Female,5,$29.85,4842.223538171492,Unknown,Mailed check,No
CUST-1057,25.0,Female,3,$56.95,522.764257013042,m2m,Mailed check,Yes
CUST-1058,25.0,Female,0,INVALID,3074.589273535457,month to month,Electronic check,No
CUST-1059,34.0,Female,5,$105.50,1933.2403436391323,One year,Bank transfer,No
CUST-1060,34.0,M,0,99.99,2196.423881655606,One year,Mailed check,No
CUST-1061,34.0,nan,0,$29.85,4479.266047288725,m2m,Credit card,Yes
CUST-1062,61.0,Female,1,$29.85,1676.0919879439066,month to month,Mailed check,Yes
CUST-1063,34.0,Female,5,$105.50,2422.1978980334907,Month-to-month,Electronic check,No
CUST-1064,34.0,Female,3,$29.85,1972.9691972869866,Two year,Electronic check,No
CUST-1065,45.0,Female,10,$29.85,7593.173251423738,Two year,Bank transfer,No
CUST-1066,25.0,Male,1,$29.85,7562.859284151652,m2m,Electronic check,No
CUST-1067,61.0,Male,0,99.99,4918.538312908809,month to month,Mailed check,No
CUST-1068,25.0,Male,10,INVALID,7403.727502982009,month to month,Mailed check,Yes
CUST-1069,-5.0,Male,8,$29.85,6307.9198992001475,One year,Mailed check,No
CUST-1070,61.0,Male,10,$56.95,4760.588274134289,Month-to-month,Mailed check,Yes
CUST-1071,25.0,Male,0,99.99,150.83817082468613,Unknown,Bank transfer,No
CUST-1072,25.0,Male,0,nan,6202.8786600272915,month to month,Credit card,Yes
CUST-1073,61.0,Male,5,$29.85,5649.657898548904,Unknown,Credit card,Yes
CUST-1074,52.0,nan,5,$56.95,4960.50386093107,Two year,Bank transfer,No
CUST-1075,52.0,Female,1,$56.95,6107.352062291527,Unknown,Electronic check,No
CUST-1076,61.0,Male,3,$105.50,4152.08510172065,Month-to-month,Credit card,No
CUST-1077,25.0,Female,1,$56.95,5662.257843438579,Month-to-month,Electronic check,No
CUST-1078,34.0,Male,2,$29.85,7487.859485139297,Unknown,Credit card,No
CUST-1079,25.0,F,0,99.99,3068.859625184082,m2m,Electronic check,No
CUST-1080,61.0,Female,10,99.99,5694.162495714941,month to month,Bank transfer,Yes
CUST-1081,52.0,Male,8,$29.85,3857.9337622865737,m2m,Mailed check,No
CUST-1082,34.0,Female,0,$105.50,5427.757249330454,Unknown,Electronic check,Yes
CUST-1083,25.0,M,0,$29.85,6126.857350879476,month to month,Mailed check,No
CUST-1084,34.0,F,1,$56.95,459.0747534427881,One year,Electronic check,Yes
CUST-1085,34.0,Female,8,$56.95,5208.143507194429,m2m,Electronic check,No
CUST-1086,52.0,Female,8,99.99,1891.2553568148621,m2m,Electronic check,Yes
CUST-1087,52.0,Male,8,$56.95,5393.257048679778,Unknown,Electronic check,No
CUST-1088,61.0,nan,1,$105.50,3799.8084688771264,Two year,Electronic check,No
CUST-1089,45.0,Male,0,99.99,6211.066660732609,Unknown,Mailed check,No
CUST-1090,25.0,F,1,99.99,1074.8664401242117,m2m,Electronic check,No
CUST-1091,52.0,Female,5,99.99,5047.946578083941,month to month,Mailed check,No
CUST-1092,61.0,Female,5,99.99,2299.918758527663,Two year,Bank transfer,No
CUST-1093,45.0,Female,1,$29.85,6838.557763111673,Unknown,Credit card,No
CUST-1094,61.0,Male,8,$56.95,7434.229694526829,Unknown,Electronic check,Yes
CUST-1095,45.0,Male,0,INVALID,7971.546520064538,m2m,Credit card,No
CUST-1096,45.0,Male,1,$29.85,6388.458479175538,m2m,Mailed check,No
CUST-1097,45.0,Male,1,99.99,6054.499156381236,One year,Bank transfer,Yes
CUST-1098,25.0,Female,1,nan,1802.4559950536532,Unknown,Bank transfer,No
CUST-1099,25.0,Male,2,$29.85,2754.4557660218593,m2m,Bank transfer,No
CUST-1100,25.0,Male,5,99.99,3778.892079922008,Month-to-month,Credit card,No
CUST-1101,52.0,nan,10,$56.95,6209.710277479772,Two year,Mailed check,Yes
CUST-1102,34.0,F,8,$56.95,7328.230334115952,Month-to-month,Electronic check,Yes
CUST-1103,45.0,F,3,$29.85,1594.1988901815785,Two year,Electronic check,Yes
CUST-1104,,nan,10,$29.85,7386.703128893812,Unknown,Mailed check,No
CUST-1105,34.0,Male,8,99.99,5595.434753597058,One year,Credit card,Yes
CUST-1106,45.0,Male,3,$105.50,4925.088772411805,m2m,Electronic check,No
CUST-1107,61.0,Female,2,99.99,1678.746043127322,m2m,Mailed check,No
CUST-1108,34.0,Female,1,$56.95,538.6477591922894,m2m,Electronic check,No
CUST-1109,25.0,Male,2,$29.85,4590.8726982127255,Unknown,Bank transfer,No
CUST-1110,34.0,M,2,99.99,5246.97389829825,Two year,Electronic check,No
CUST-1111,25.0,Male,10,$29.85,1765.173449902037,m2m,Credit card,No
CUST-1112,,Male,0,INVALID,4496.004026021105,Month-to-month,Mailed check,No
CUST-1113,61.0,Female,10,$105.50,6866.297881824331,m2m,Credit card,No
CUST-1114,52.0,Female,5,99.99,6697.020969094658,Unknown,Mailed check,Yes
CUST-1115,61.0,Female,3,INVALID,7426.105926631748,One year,Bank transfer,No
CUST-1116,61.0,Male,1,$29.85,2990.4978954993553,Month-to-month,Mailed check,Yes
CUST-1117,25.0,M,10,99.99,2612.591623152258,m2m,Electronic check,No
CUST-1118,61.0,Male,3,$56.95,6020.465447248388,m2m,Electronic check,Yes
CUST-1119,45.0,Male,8,INVALID,3505.7880002663396,month to month,Bank transfer,No
CUST-1120,61.0,F,3,$29.85,791.6344458194668,Two year,Mailed check,No
CUST-1121,61.0,F,8,99.99,2334.128932296948,Month-to-month,Bank transfer,No
CUST-1122,34.0,M,10,$105.50,3406.800055698764,month to month,Electronic check,No
CUST-1123,25.0,M,5,$29.85,2410.8797612623907,One year,Credit card,Yes
CUST-1124,34.0,Female,10,$56.95,2724.424010483841,Two year,Bank transfer,No
CUST-1125,45.0,Female,8,99.99,2420.8296587776867,Month-to-month,Credit card,No
CUST-1126,61.0,Male,3,$56.95,427.8434207463276,m2m,Credit card,Yes
CUST-1127,61.0,Female,3,$29.85,5133.048136513096,Month-to-month,Mailed check,No
CUST-1128,25.0,Male,8,$29.85,4818.6101207924075,m2m,Bank transfer,No
CUST-1129,45.0,Male,2,$29.85,5261.729637981577,Two year,Credit card,No
CUST-1130,45.0,Female,5,$105.50,1619.248178665657,m2m,Credit card,No
CUST-1131,34.0,Female,0,$56.95,2435.6708787386337,One year,Mailed check,No
CUST-1132,25.0,Male,1,$29.85,4994.965822864886,Unknown,Mailed check,No
CUST-1133,34.0,Male,3,$56.95,4837.057790833379,m2m,Electronic check,Yes
CUST-1134,,Female,1,$56.95,4100.009443898716,One year,Credit card,No
CUST-1135,34.0,Male,0,$29.85,2868.2646750805593,Unknown,Electronic check,No
CUST-1136,45.0,M,10,$56.95,7312.15493772005,Two year,Credit card,No
CUST-1137,52.0,Female,1,$56.95,2784.184914160866,Two year,Electronic check,Yes
CUST-1138,34.0,Female,0,$56.95,3699.3913358542877,Month-to-month,Mailed check,Yes
CUST-1139,-5.0,Female,8,99.99,5457.099264538249,One year,Bank transfer,No
CUST-1140,150.0,M,2,$29.85,4389.869303847437,One year,Mailed check,Yes
CUST-1141,34.0,Male,3,99.99,2840.399213278646,month to month,Electronic check,No
CUST-1142,45.0,Female,0,$56.95,3541.593844606428,month to month,Electronic check,No
CUST-1143,34.0,Female,1,$56.95,6376.398461042698,Unknown,Bank transfer,No
CUST-1144,34.0,Male,3,99.99,2297.220328344238,Unknown,Credit card,No
CUST-1145,25.0,M,2,$56.95,1223.816394236842,month to month,Electronic check,No
CUST-1146,52.0,Female,8,$105.50,2573.989294455239,Unknown,Electronic check,Yes
CUST-1147,45.0,Female,10,99.99,6811.32030235442,m2m,Electronic check,No
CUST-1148,25.0,M,3,$56.95,803.0187473651386,month to month,Bank transfer,Yes
CUST-1149,34.0,M,10,$105.50,7934.398979642369,One year,Mailed check,No
CUST-1150,,Female,0,99.99,4373.922901528534,m2m,Electronic check,No
CUST-1151,34.0,M,2,$29.85,7880.281377340043,Unknown,Bank transfer,No
CUST-1152,25.0,Female,1,$29.85,7518.071734479223,Two year,Electronic check,No
CUST-1153,45.0,Female,2,$29.85,3677.2283422662426,Month-to-month,Credit card,No
CUST-1154,-5.0,Female,2,$105.50,1668.0794893822579,month to month,Bank transfer,No
CUST-1155,34.0,Female,5,99.99,1402.5897348645938,Two year,Electronic check,No
CUST-1156,52.0,Male,2,INVALID,1995.9159745726643,Unknown,Bank transfer,No
CUST-1157,61.0,F,2,99.99,5710.047860459845,One year,Electronic check,Yes
CUST-1158,34.0,M,3,$56.95,2256.304958378754,Month-to-month,Mailed check,No
CUST-1159,52.0,Male,1,$29.85,2797.259629873957,Two year,Electronic check,No
CUST-1160,34.0,M,3,99.99,3645.352551557457,Month-to-month,Bank transfer,No
CUST-1161,52.0,Male,3,$56.95,7314.538175329505,month to month,Credit card,Yes
CUST-1162,52.0,Male,0,nan,1596.208001290284,Unknown,Credit card,Yes
CUST-1163,45.0,Female,3,$29.85,139.7097656174446,One year,Credit card,No
CUST-1164,25.0,Male,5,$56.95,574.7616419875442,Unknown,Electronic check,No
CUST-1165,61.0,M,5,99.99,7247.6540992729315,Month-to-month,Mailed check,No
CUST-1166,34.0,M,10,99.99,5215.380072262568,Two year,Electronic check,Yes
CUST-1167,25.0,Female,0,$56.95,2257.0208926896735,month to month,Credit card,No
CUST-1168,25.0,Male,10,99.99,1499.8207579884097,month to month,Bank transfer,No
CUST-1169,45.0,Male,10,$29.85,2424.707219433203,Unknown,Credit card,No
CUST-1170,52.0,Female,8,99.99,1006.8957252851128,Two year,Bank transfer,No
CUST-1171,25.0,nan,1,99.99,7538.1099912470845,Two year,Mailed check,Yes
CUST-1172,45.0,Female,1,$105.50,6295.228777485608,Month-to-month,Bank transfer,No
CUST-1173,34.0,Male,3,$105.50,3752.8902976090717,Unknown,Electronic check,No
CUST-1174,52.0,Female,3,$56.95,6933.204580410095,Unknown,Electronic check,No
CUST-1175,25.0,Female,8,$29.85,2070.719813916535,m2m,Electronic check,Yes
CUST-1176,52.0,Female,3,nan,5765.252490930329,Unknown,Bank transfer,Yes
CUST-1177,34.0,Male,1,$56.95,6863.446742208574,month to month,Electronic check,No
CUST-1178,,Female,10,INVALID,2918.472821823854,Month-to-month,Electronic check,No
CUST-1179,25.0,Female,2,$29.85,6083.96911906067,Two year,Electronic check,Yes
CUST-1180,34.0,nan,5,99.99,2431.071559188044,Unknown,Mailed check,No
CUST-1181,25.0,Male,2,$105.50,2460.9713685463435,Month-to-month,Bank transfer,No
CUST-1182,,Female,2,INVALID,945.7517105780698,Unknown,Bank transfer,No
CUST-1183,61.0,F,1,$56.95,3576.45856742425,Two year,Credit card,Yes
CUST-1184,34.0,Male,2,99.99,5864.724061329635,One year,Bank transfer,No
CUST-1185,52.0,F,8,$56.95,7527.744364013151,Two year,Mailed check,Yes
CUST-1186,61.0,Female,0,$29.85,4869.996236239859,Two year,Bank transfer,No
CUST-1187,45.0,Male,3,99.99,6918.770748112338,Two year,Mailed check,No
CUST-1188,45.0,Male,0,99.99,6597.707729392794,Unknown,Mailed check,No
CUST-1189,34.0,Female,10,INVALID,1469.4101185047186,m2m,Bank transfer,No
CUST-1190,25.0,Male,5,$56.95,3937.9576884097887,Two year,Credit card,No
CUST-1191,61.0,Female,3,$29.85,1023.6959306505927,month to month,Electronic check,No
CUST-1192,,Male,2,$29.85,5489.009976336916,month to month,Electronic check,No
CUST-1193,52.0,Female,5,$56.95,7604.207379144,Month-to-month,Bank transfer,Yes
CUST-1194,34.0,Male,3,$56.95,1183.0067188221763,m2m,Bank transfer,Yes
CUST-1195,34.0,M,8,99.99,5897.676733340077,Month-to-month,Mailed check,No
CUST-1196,52.0,nan,8,$56.95,5094.681391856101,month to month,Bank transfer,No
CUST-1197,61.0,nan,8,INVALID,4710.479792363988,month to month,Mailed check,No
CUST-1198,61.0,Female,8,nan,3181.94985403788,One year,Credit card,No
CUST-1199,61.0,Male,2,99.99,2905.5400172551194,Two year,Bank transfer,Yes
CUST-1200,52.0,Female,0,INVALID,457.4685932492141,month to month,Electronic check,No
CUST-1201,25.0,Male,3,99.99,1821.4787951909063,Unknown,Electronic check,No
CUST-1202,25.0,Male,2,$56.95,219.89737006593248,Unknown,Bank transfer,Yes
CUST-1203,61.0,Male,8,$29.85,4693.195134097962,Month-to-month,Mailed check,No
CUST-1204,52.0,Female,10,$56.95,936.2405634354799,Month-to-month,Electronic check,No
CUST-1205,25.0,Female,0,$56.95,6996.853212834757,Two year,Mailed check,No
CUST-1206,25.0,Female,10,$105.50,4232.829863507605,Two year,Bank transfer,No
CUST-1207,52.0,Female,5,$56.95,5627.5502815637965,One year,Bank transfer,No
CUST-1208,25.0,Male,10,$105.50,3345.771025539922,m2m,Electronic check,Yes
CUST-1209,25.0,nan,5,99.99,4528.580491108284,Month-to-month,Bank transfer,Yes
CUST-1210,45.0,Female,5,$29.85,7547.007498036381,Two year,Credit card,No
CUST-1211,52.0,Female,8,nan,753.5989130269991,Month-to-month,Credit card,Yes
CUST-1212,52.0,Male,5,$56.95,2106.1083981971997,Two year,Electronic check,No
CUST-1213,34.0,Female,1,$56.95,6261.9077825933,month to month,Credit card,Yes
CUST-1214,52.0,Female,3,99.99,880.0239343730602,Month-to-month,Mailed check,No
CUST-1215,34.0,Male,3,$29.85,697.7227208424757,month to month,Electronic check,Yes
CUST-1216,34.0,Male,8,99.99,2956.177050156905,Month-to-month,Electronic check,Yes
CUST-1217,52.0,Female,1,$56.95,828.1268719322153,m2m,Mailed check,No
CUST-1218,52.0,Female,10,$56.95,4722.119693429005,One year,Credit card,Yes
CUST-1219,61.0,Male,2,nan,1887.5744814511386,Unknown,Credit card,Yes
CUST-1220,52.0,F,10,$56.95,7176.013909275041,Unknown,Credit card,Yes
CUST-1221,45.0,Male,2,$29.85,6289.650638677528,Unknown,Electronic check,No
CUST-1222,25.0,Female,5,$56.95,5627.671128185862,month to month,Electronic check,Yes
CUST-1223,34.0,F,0,INVALID,4973.857816337565,Two year,Credit card,Yes
CUST-1224,34.0,Female,2,$29.85,6921.379269697561,Unknown,Bank transfer,No
CUST-1225,34.0,Female,0,$29.85,1862.1902861877793,m2m,Credit card,Yes
CUST-1226,-5.0,Male,3,$29.85,6997.559857837398,Unknown,Mailed check,No
CUST-1227,34.0,Male,0,$29.85,6336.989157550013,Month-to-month,Electronic check,No
CUST-1228,61.0,nan,3,$105.50,6010.470528462716,month to month,Mailed check,No
CUST-1229,52.0,Female,1,99.99,4533.9198567919,Month-to-month,Mailed check,No
CUST-1230,61.0,F,1,$56.95,2045.3288716677407,Month-to-month,Electronic check,No
CUST-1231,45.0,Male,8,99.99,3446.0285363359812,Month-to-month,Bank transfer,No
CUST-1232,45.0,Male,8,$56.95,6369.208170856533,One year,Credit card,Yes
CUST-1233,45.0,Male,5,nan,351.0500264228631,One year,Mailed check,No
CUST-1234,25.0,Female,2,nan,6278.20107718369,Two year,Electronic check,No
CUST-1235,52.0,Male,5,$56.95,1996.5588498517752,month to month,Mailed check,No
CUST-1236,34.0,M,3,$105.50,1240.042685700664,m2m,Credit card,No
CUST-1237,25.0,Female,5,99.99,1014.040413624387,m2m,Bank transfer,Yes
CUST-1238,52.0,nan,0,$56.95,315.27509441143934,m2m,Bank transfer,No
CUST-1239,25.0,Male,3,$29.85,4236.333233249478,Month-to-month,Bank transfer,Yes
CUST-1240,,M,8,$56.95,1824.2529942804629,One year,Electronic check,No
CUST-1241,150.0,Female,1,99.99,7916.510949659089,month to month,Electronic check,No
CUST-1242,,Female,8,nan,4638.050371390425,Month-to-month,Bank transfer,No
CUST-1243,34.0,M,2,99.99,1189.2936279124824,One year,Credit card,No
CUST-1244,25.0,Female,3,$105.50,5541.2240724097865,One year,Credit card,No
CUST-1245,,Female,3,99.99,7192.17417542683,Unknown,Electronic check,No
CUST-1246,45.0,Male,0,$105.50,5986.918013419953,Unknown,Bank transfer,No
CUST-1247,150.0,Male,2,99.99,703.8749022116366,month to month,Credit card,Yes
CUST-1248,150.0,F,1,$56.95,7177.48503142201,month to month,Credit card,No
CUST-1249,61.0,Female,10,$56.95,6372.042148293722,month to month,Credit card,No
CUST-1250,34.0,Female,3,$105.50,1350.6008108343533,Month-to-month,Electronic check,No
CUST-1251,34.0,Female,3,$29.85,509.10852098925324,Two year,Bank transfer,No
CUST-1252,61.0,Male,0,$105.50,4502.7535449830375,month to month,Mailed check,Yes
CUST-1253,34.0,Male,5,$29.85,1332.6829095858175,Unknown,Bank transfer,No
CUST-1254,25.0,Female,1,$56.95,6693.268525502649,Two year,Bank transfer,No
CUST-1255,45.0,Female,8,$105.50,2930.8437877062224,Month-to-month,Electronic check,Yes
CUST-1256,,Male,2,$29.85,7311.850313418946,Two year,Credit card,No
CUST-1257,52.0,Female,3,$29.85,4568.9365599139455,m2m,Credit card,No
CUST-1258,45.0,Male,3,$56.95,1543.1118354933783,Two year,Electronic check,No
CUST-1259,25.0,Female,8,$105.50,1202.8310521424207,month to month,Electronic check,No
CUST-1260,52.0,Male,1,$29.85,4654.132256706256,Month-to-month,Electronic check,Yes
CUST-1261,-5.0,Female,5,INVALID,6118.880533713307,month to month,Electronic check,Yes
CUST-1262,25.0,Male,3,$29.85,6273.894617163239,Unknown,Electronic check,Yes
CUST-1263,45.0,Female,1,nan,2278.4834950861223,m2m,Mailed check,No
CUST-1264,61.0,Male,8,nan,1713.549395406123,Unknown,Bank transfer,No
CUST-1265,52.0,Male,0,$56.95,232.37480548982106,month to month,Bank transfer,Yes
CUST-1266,52.0,Male,5,$56.95,5465.673294489238,month to month,Bank transfer,No
CUST-1267,52.0,Female,2,$56.95,704.889241624958,month to month,Credit card,No
CUST-1268,34.0,Female,3,99.99,3424.013493950814,One year,Mailed check,No
CUST-1269,34.0,Male,1,$29.85,4853.289095744539,m2m,Bank transfer,No
CUST-1270,61.0,Female,0,$29.85,7503.160664865448,month to month,Credit card,No
CUST-1271,61.0,M,2,$29.85,2563.2368819505723,month to month,Mailed check,Yes
CUST-1272,61.0,Female,10,$56.95,2073.200083327506,Unknown,Mailed check,Yes
CUST-1273,,Male,1,$29.85,5267.865218860177,Unknown,Credit card,No
CUST-1274,45.0,Female,1,99.99,4991.988353223295,month to month,Mailed check,No
CUST-1275,45.0,Male,2,nan,2723.667288134184,Month-to-month,Credit card,No
CUST-1276,61.0,Male,0,$56.95,7432.004500527313,One year,Bank transfer,Yes
CUST-1277,52.0,nan,10,$56.95,6774.412387168099,Unknown,Credit card,No
CUST-1278,52.0,Male,8,$56.95,1869.462112334141,Month-to-month,Mailed check,Yes
CUST-1279,61.0,Female,0,$105.50,1989.226108932733,One year,Bank transfer,No
CUST-1280,61.0,Female,5,INVALID,4147.1727404079365,month to month,Bank transfer,No
CUST-1281,34.0,Female,3,$105.50,6211.219603672691,m2m,Electronic check,No
CUST-1282,34.0,Female,2,nan,447.91899716886866,Two year,Electronic check,Yes
CUST-1283,25.0,Male,8,$29.85,5577.3477145041825,Two year,Mailed check,No
CUST-1284,45.0,Male,10,$105.50,5221.063589318566,month to month,Credit card,No
CUST-1285,25.0,Female,2,99.99,1928.692757712607,Unknown,Credit card,No
CUST-1286,45.0,Male,2,$29.85,5482.688804606655,Month-to-month,Mailed check,Yes
CUST-1287,45.0,Male,0,nan,7527.447210891452,m2m,Bank transfer,Yes
CUST-1288,34.0,Male,3,$29.85,469.6081752769713,One year,Mailed check,No
CUST-1289,45.0,Male,5,99.99,2625.251236807294,month to month,Mailed check,Yes
CUST-1290,25.0,Male,1,$29.85,3561.5960616642064,m2m,Bank transfer,No
CUST-1291,25.0,Male,1,$56.95,7204.156835505048,m2m,Credit card,No
CUST-1292,61.0,Female,2,99.99,7701.865428212338,Unknown,Mailed check,No
CUST-1293,34.0,Female,3,$56.95,3608.510447321025,One year,Credit card,No
CUST-1294,25.0,M,10,$56.95,6025.22445592331,m2m,Mailed check,Yes
CUST-1295,45.0,Male,10,$56.95,4300.122087739415,Unknown,Bank transfer,Yes
CUST-1296,61.0,Male,8,$105.50,4348.485184456875,Month-to-month,Bank transfer,No
CUST-1297,34.0,Male,0,$29.85,2296.986169024216,Unknown,Electronic check,No
CUST-1298,52.0,Female,3,$56.95,1813.9543423246482,Month-to-month,Bank transfer,Yes
CUST-1299,25.0,Female,3,INVALID,2375.242232799925,Month-to-month,Electronic check,Yes
CUST-1300,25.0,Male,0,$105.50,4494.991257330927,m2m,Mailed check,No
CUST-1301,45.0,F,10,$56.95,330.32596957450306,Unknown,Credit card,Yes
CUST-1302,45.0,Male,10,99.99,7267.266660415606,Month-to-month,Bank transfer,No
CUST-1303,52.0,Female,10,$105.50,1334.641305443232,One year,Bank transfer,No
CUST-1304,52.0,Female,2,$105.50,1838.7005472839537,m2m,Bank transfer,Yes
CUST-1305,-5.0,M,3,$56.95,4194.381793936406,Unknown,Mailed check,No
CUST-1306,45.0,Female,1,$29.85,5709.906654064506,Unknown,Electronic check,No
CUST-1307,34.0,M,0,$29.85,856.2595324807387,Two year,Mailed check,No
CUST-1308,61.0,Male,10,$29.85,2609.7881106225814,Unknown,Credit card,Yes
CUST-1309,34.0,M,8,$56.95,7752.529384037422,m2m,Mailed check,Yes
CUST-1310,45.0,Male,10,$29.85,2172.509437569471,One year,Credit card,No
CUST-1311,25.0,F,10,99.99,2573.0961459988603,Unknown,Bank transfer,No
CUST-1312,25.0,Female,5,$56.95,6708.338075882464,Two year,Credit card,No
CUST-1313,150.0,M,2,$29.85,496.6940103545965,m2m,Credit card,No
CUST-1314,61.0,Female,0,$105.50,3770.44403359087,Month-to-month,Electronic check,No
CUST-1315,52.0,Female,5,$56.95,3098.972439168195,month to month,Credit card,Yes
CUST-1316,45.0,Female,5,$29.85,2601.035403278344,month to month,Credit card,No
CUST-1317,25.0,Female,8,$105.50,2357.02679295364,Month-to-month,Mailed check,No
CUST-1318,25.0,Male,3,$29.85,821.8554283972327,Unknown,Bank transfer,No
CUST-1319,34.0,Male,8,99.99,2587.1240518780255,month to month,Mailed check,No
CUST-1320,45.0,Male,3,99.99,440.1139814537817,month to month,Mailed check,Yes
CUST-1321,52.0,Male,3,$56.95,6269.614522791038,Month-to-month,Bank transfer,No
CUST-1322,52.0,M,0,$105.50,3245.999572268292,Unknown,Bank transfer,No
CUST-1323,34.0,Male,10,$56.95,3606.8402753273017,Unknown,Credit card,No
CUST-1324,150.0,nan,0,$56.95,7159.397232956039,Month-to-month,Credit card,No
CUST-1325,52.0,Male,2,$29.85,5298.634372503644,Unknown,Electronic check,No
CUST-1326,45.0,Male,3,$29.85,163.66691640274632,Unknown,Mailed check,No
CUST-1327,52.0,Female,5,INVALID,7551.081101394151,m2m,Bank transfer,No
CUST-1328,45.0,Female,10,$56.95,1973.4412812239186,m2m,Credit card,No
CUST-1329,34.0,Female,1,$56.95,950.1520596028848,Month-to-month,Bank transfer,No
CUST-1330,34.0,Female,2,$56.95,6168.212609208969,One year,Credit card,No
